 ID  ,title,followers_count,genres,popularity,avgcompscore
5771,Relient K,209171,"['ccm', 'christian alternative rock', 'christian christmas', 'christian music', 'christian punk', 'christian rock', 'emo', 'modern rock', 'neo mellow', 'pop christmas', 'pop punk', 'pop rock', 'punk christmas']",61,-0.433557143
5772,R.E.M.,1089030,"['album rock', 'alternative rock', 'art rock', 'classic rock', 'dance rock', 'folk christmas', 'mellow gold', 'permanent wave', 'pop christmas', 'pop rock', 'rock']",74,0.9653
5773,The Rembrandts,16585,[],53,-0.759308333
5774,Renaissance,27835,"['album rock', 'art rock', 'canterbury scene', 'jazz fusion', 'neo-progressive', 'progressive rock', 'psychedelic rock', 'symphonic rock']",40,-0.5788
5775,Renate & Werner Leismann,55,[],8,0.349094444
5776,Renate Kern,243,['classic schlager'],14,0.5949
5777,Renato Russo,549896,['mpb'],52,-0.4404
5778,Renaud Capuçon,2920,"['classical performance', 'violin']",44,-0.690966667
5779,Diane Renay,340,['brill building pop'],14,-0.237259259
5780,Rendezvous At Two,11889,"['deep indie r&b', 'indie r&b', 'trap soul']",48,0.399316667
5781,René Carol,847,['classic schlager'],23,0.277598182
5782,The Rentals,9211,['alternative pop'],34,-0.271997917
5783,Die Rentnerband,12,[],0,-0.354134127
5784,REO Speedwagon,449795,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock', 'southern rock']",66,-0.04955
5785,The Replacements,92326,"['alternative country', 'alternative pop', 'alternative rock', 'anti-folk', 'art rock', 'dance rock', 'dream pop', 'indie rock', 'jangle pop', 'lo-fi', 'neo-psychedelic', 'new wave', 'noise pop', 'noise rock', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'rock', 'roots rock', 'singer-songwriter']",55,-0.35532
5787,Roni Size,29841,"['big beat', 'breakbeat', 'drum and bass', 'electronic', 'hardcore techno', 'jungle', 'liquid funk', 'trip hop']",42,-0.5106
5788,Republica,15521,"['candy pop', 'new wave pop']",42,-0.2286
5789,Repulsion,9133,"['crossover thrash', 'crust punk', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'power violence', 'technical death metal', 'thrash core']",25,-0.3169
5790,Requiem of Favor,10,[],25,-0.122066667
5791,Res,11901,['neo soul'],32,-0.989633333
5792,The Residents,26199,"['art rock', 'canterbury scene', 'experimental', 'experimental rock', 'fourth world', 'industrial', 'industrial rock', 'kraut rock', 'no wave', 'outsider', 'post-punk', 'psychedelic rock', 'uk post-punk', 'zolo']",38,0.9751
5793,Resist Control,160,[],0,0.9768
5795,Resorte,35000,"['latin alternative', 'latin metal', 'mexican indie', 'rock en espanol']",39,0.3239
5796,Restless Heart,50740,"['country', 'country christmas', 'country rock']",47,0.924966667
5797,Resurrection Band,4897,"['christian metal', 'deep christian rock']",24,0.872
5798,Return To Zero,8,[],0,0.4675
5799,Mercury Rev,40556,"['alternative rock', 'art rock', 'britpop', 'chamber pop', 'dream pop', 'indie rock', 'lo-fi', 'madchester', 'melancholia', 'neo-psychedelic', 'noise pop', 'shoegaze', 'singer-songwriter', 'slow core']",44,0.802318182
5800,She Wants Revenge,95780,"['alternative dance', 'dance-punk', 'dark wave', 'new rave', 'synthpop']",52,0.94158
5801,Revolver Cannabis,251062,"['banda', 'deep regional mexican', 'regional mexican', 'regional mexican pop']",62,-0.9443
