Row Labels,Count of genres
tropical houseNONE,2
turkish classical,1
turkish folk,1
turkish hip hopNONE,1
turkish pop,1
turkish popNONE,1
turkish rockNONE,2
twee indie popNONE,1
tzadikNONE,1
uk garageNONE,1
ukuleleNONE,1
underground hip hop,2
underground hip hopNONE,1
underground rapNONE,1
urban contemporaryNONE,1
vapor popNONE,1
vapor soulNONE,2
vapor trapNONE,3
vapor twitchNONE,3
venezuelan rockNONE,1
viking metalNONE,1
vintage french electronicNONE,1
vintage swedish popNONE,1
vocal houseNONE,1
vocal jazzNONE,2
volksmusik,3
volksmusikNONE,8
west coast rapNONE,2
west coast trapNONE,1
wonkyNONE,1
ye yeNONE,1
yugoslav rockNONE,4
zapstepNONE,1
zillertalNONE,1
zoloNONE,3
(blank),
Grand Total,7806
